/usr/local/lib/python3.10/dist-packages/torch/nn/modules/lazy.py:181: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
Folder 'MultiPatternAttention_Classifier' already exists at 'Models/trained_models'
Starting to train MultiPatternAttention_Classifier on MiddlePhalanxOutlineAgeGroup_TRAIN.csv
15
Epoch [1/1000], Loss: 0.7226
Epoch [2/1000], Loss: 0.7190
Epoch [3/1000], Loss: 0.7145
Epoch [4/1000], Loss: 0.7083
Epoch [5/1000], Loss: 0.7003
Epoch [6/1000], Loss: 0.6902
Epoch [7/1000], Loss: 0.6780
Epoch [8/1000], Loss: 0.6636
Epoch [9/1000], Loss: 0.6470
Epoch [10/1000], Loss: 0.6283
Epoch [11/1000], Loss: 0.6076
Epoch [12/1000], Loss: 0.5852
Epoch [13/1000], Loss: 0.5615
Epoch [14/1000], Loss: 0.5369
Epoch [15/1000], Loss: 0.5121
Epoch [16/1000], Loss: 0.4878
Epoch [17/1000], Loss: 0.4650
Epoch [18/1000], Loss: 0.4444
Epoch [19/1000], Loss: 0.4268
Epoch [20/1000], Loss: 0.4130
Epoch [21/1000], Loss: 0.4034
Epoch [22/1000], Loss: 0.3979
Epoch [23/1000], Loss: 0.3965
Epoch [24/1000], Loss: 0.3982
Epoch [25/1000], Loss: 0.4018
Epoch [26/1000], Loss: 0.4061
Epoch [27/1000], Loss: 0.4097
Epoch [28/1000], Loss: 0.4121
Epoch [29/1000], Loss: 0.4129
Epoch [30/1000], Loss: 0.4122
Epoch [31/1000], Loss: 0.4104
Epoch [32/1000], Loss: 0.4077
Epoch [33/1000], Loss: 0.4047
Epoch [34/1000], Loss: 0.4016
Epoch [35/1000], Loss: 0.3987
Epoch [36/1000], Loss: 0.3962
Epoch [37/1000], Loss: 0.3942
Epoch [38/1000], Loss: 0.3927
Epoch [39/1000], Loss: 0.3917
Epoch [40/1000], Loss: 0.3911
Epoch [41/1000], Loss: 0.3909
Epoch [42/1000], Loss: 0.3908
Epoch [43/1000], Loss: 0.3909
Epoch [44/1000], Loss: 0.3910
Epoch [45/1000], Loss: 0.3910
Epoch [46/1000], Loss: 0.3908
Epoch [47/1000], Loss: 0.3905
Epoch [48/1000], Loss: 0.3899
Epoch [49/1000], Loss: 0.3891
Epoch [50/1000], Loss: 0.3882
Epoch [51/1000], Loss: 0.3871
Epoch [52/1000], Loss: 0.3859
Epoch [53/1000], Loss: 0.3846
Epoch [54/1000], Loss: 0.3833
Epoch [55/1000], Loss: 0.3820
Epoch [56/1000], Loss: 0.3807
Epoch [57/1000], Loss: 0.3795
Epoch [58/1000], Loss: 0.3782
Epoch [59/1000], Loss: 0.3769
Epoch [60/1000], Loss: 0.3756
Epoch [61/1000], Loss: 0.3743
Epoch [62/1000], Loss: 0.3728
Epoch [63/1000], Loss: 0.3712
Epoch [64/1000], Loss: 0.3694
Epoch [65/1000], Loss: 0.3675
Epoch [66/1000], Loss: 0.3656
Epoch [67/1000], Loss: 0.3635
Epoch [68/1000], Loss: 0.3614
Epoch [69/1000], Loss: 0.3593
Epoch [70/1000], Loss: 0.3571
Epoch [71/1000], Loss: 0.3549
Epoch [72/1000], Loss: 0.3526
Epoch [73/1000], Loss: 0.3502
Epoch [74/1000], Loss: 0.3477
Epoch [75/1000], Loss: 0.3451
Epoch [76/1000], Loss: 0.3423
Epoch [77/1000], Loss: 0.3395
Epoch [78/1000], Loss: 0.3366
Epoch [79/1000], Loss: 0.3337
Epoch [80/1000], Loss: 0.3308
Epoch [81/1000], Loss: 0.3278
Epoch [82/1000], Loss: 0.3247
Epoch [83/1000], Loss: 0.3216
Epoch [84/1000], Loss: 0.3185
Epoch [85/1000], Loss: 0.3154
Epoch [86/1000], Loss: 0.3123
Epoch [87/1000], Loss: 0.3092
Epoch [88/1000], Loss: 0.3062
Epoch [89/1000], Loss: 0.3032
Epoch [90/1000], Loss: 0.3002
Epoch [91/1000], Loss: 0.2973
Epoch [92/1000], Loss: 0.2945
Epoch [93/1000], Loss: 0.2917
Epoch [94/1000], Loss: 0.2891
Epoch [95/1000], Loss: 0.2867
Epoch [96/1000], Loss: 0.2843
Epoch [97/1000], Loss: 0.2822
Epoch [98/1000], Loss: 0.2801
Epoch [99/1000], Loss: 0.2783
Epoch [100/1000], Loss: 0.2766
Epoch [101/1000], Loss: 0.2750
Epoch [102/1000], Loss: 0.2737
Epoch [103/1000], Loss: 0.2725
Epoch [104/1000], Loss: 0.2714
Epoch [105/1000], Loss: 0.2705
Epoch [106/1000], Loss: 0.2697
Epoch [107/1000], Loss: 0.2690
Epoch [108/1000], Loss: 0.2684
Epoch [109/1000], Loss: 0.2679
Epoch [110/1000], Loss: 0.2674
Epoch [111/1000], Loss: 0.2670
Epoch [112/1000], Loss: 0.2665
Epoch [113/1000], Loss: 0.2661
Epoch [114/1000], Loss: 0.2655
Epoch [115/1000], Loss: 0.2650
Epoch [116/1000], Loss: 0.2644
Epoch [117/1000], Loss: 0.2637
Epoch [118/1000], Loss: 0.2630
Epoch [119/1000], Loss: 0.2623
Epoch [120/1000], Loss: 0.2616
Epoch [121/1000], Loss: 0.2608
Epoch [122/1000], Loss: 0.2601
Epoch [123/1000], Loss: 0.2594
Epoch [124/1000], Loss: 0.2588
Epoch [125/1000], Loss: 0.2581
Epoch [126/1000], Loss: 0.2573
Epoch [127/1000], Loss: 0.2566
Epoch [128/1000], Loss: 0.2557
Epoch [129/1000], Loss: 0.2549
Epoch [130/1000], Loss: 0.2540
Epoch [131/1000], Loss: 0.2530
Epoch [132/1000], Loss: 0.2521
Epoch [133/1000], Loss: 0.2511
Epoch [134/1000], Loss: 0.2501
Epoch [135/1000], Loss: 0.2491
Epoch [136/1000], Loss: 0.2480
Epoch [137/1000], Loss: 0.2468
Epoch [138/1000], Loss: 0.2456
Epoch [139/1000], Loss: 0.2444
Epoch [140/1000], Loss: 0.2431
Epoch [141/1000], Loss: 0.2418
Epoch [142/1000], Loss: 0.2404
Epoch [143/1000], Loss: 0.2389
Epoch [144/1000], Loss: 0.2375
Epoch [145/1000], Loss: 0.2360
Epoch [146/1000], Loss: 0.2345
Epoch [147/1000], Loss: 0.2330
Epoch [148/1000], Loss: 0.2321
Epoch [149/1000], Loss: 0.2330
Epoch [150/1000], Loss: 0.2301
Epoch [151/1000], Loss: 0.2286
Epoch [152/1000], Loss: 0.2291
Epoch [153/1000], Loss: 0.2261
Epoch [154/1000], Loss: 0.2272
Epoch [155/1000], Loss: 0.2248
Epoch [156/1000], Loss: 0.2246
Epoch [157/1000], Loss: 0.2239
Epoch [158/1000], Loss: 0.2224
Epoch [159/1000], Loss: 0.2228
Epoch [160/1000], Loss: 0.2208
Epoch [161/1000], Loss: 0.2212
Epoch [162/1000], Loss: 0.2199
Epoch [163/1000], Loss: 0.2192
Epoch [164/1000], Loss: 0.2191
Epoch [165/1000], Loss: 0.2176
Epoch [166/1000], Loss: 0.2176
Epoch [167/1000], Loss: 0.2167
